model_key,problem_idx,sample_idx,mean_logprob,total_logprob,response_length_tokens,response_length_chars,sqrt_length_normalized_logprob,length_penalized_logprob,boxed_answer_present,extracted_answer_present,answer_format_valid,final_answer_length,contains_therefore,equation_count,latex_marker_count,correct
3B,487,21,-0.19112040576385808,-49.11794428131153,257,714,-3.063893183733864,-2.761120405763858,1,1,1,1,1,0,0,1
3B,487,22,-0.11548179309300284,-34.298092548621845,297,578,-1.9901771848718923,-3.085481793093003,1,1,1,1,0,0,0,0
3B,487,23,-0.15594745452319422,-30.721648541069264,197,499,-2.1888268293165534,-2.1259474545231942,1,1,1,1,0,0,0,1
3B,487,24,-0.15103865228090685,-34.58785137232767,229,521,-2.2856295536610225,-2.441038652280907,1,1,1,1,1,0,0,0
3B,487,25,-0.14245989163715544,-25.500320603050824,179,457,-1.9059834495145394,-1.9324598916371554,1,1,1,1,0,0,0,1
3B,487,26,-0.10784416785412894,-23.941405263616623,222,552,-1.6068419113009211,-2.327844167854129,1,1,1,1,0,0,0,1
3B,487,27,-0.12486599992302279,-31.71596398044779,254,633,-1.9900365715084702,-2.664865999923023,1,1,1,1,0,0,0,1
3B,487,28,-0.20744207860166902,-26.967470218216974,130,362,-2.365203601531068,-1.5074420786016691,1,1,1,1,1,0,0,1
3B,487,29,-0.2091328273385788,-38.27130740295992,183,524,-2.8290964499509186,-2.039132827338579,1,1,1,1,1,0,0,1
3B,487,30,-0.2616384458853728,-44.740174246398745,171,440,-3.421366636078125,-1.9716384458853726,1,1,1,1,1,0,0,1
3B,487,31,-0.10617231439655754,-23.67642611043233,223,547,-1.5854907621249912,-2.3361723143965576,1,1,1,1,1,0,0,1
3B,487,32,-0.11452114829214496,-14.7732281296867,129,357,-1.3007102096137855,-1.404521148292145,1,1,1,1,0,0,0,1
3B,487,33,-0.13409242116648631,-40.76409603461184,304,623,-2.3379812518376326,-3.1740924211664865,1,1,1,1,0,0,0,0
3B,487,34,-0.15618298662188113,-42.48177236115167,272,595,-2.5758358030657837,-2.876182986621881,1,1,1,1,1,0,0,0
3B,487,35,-0.1918450340494011,-30.11967034575597,157,451,-2.4038113867436213,-1.7618450340494012,1,1,1,1,0,4,0,1
3B,487,36,-0.21593093179119513,-45.777357539733366,212,553,-3.1440018238692735,-2.335930931791195,1,1,1,1,1,0,0,1
3B,487,37,-0.2505830057895934,-48.11193711160194,192,575,-3.472179980327216,-2.1705830057895934,1,1,1,1,1,0,0,1
3B,487,38,-0.19970507119934408,-27.559299825509484,138,414,-2.346003395960339,-1.5797050711993441,1,1,1,1,0,0,0,1
3B,487,39,-0.12410349966427177,-28.66790842244678,231,573,-1.8862098937500296,-2.4341034996642716,1,1,1,1,1,0,0,0
3B,487,40,-0.16966978899973426,-40.042070203937286,236,562,-2.6065167566341456,-2.529669788999734,1,1,1,1,0,0,0,1
3B,487,41,-0.13202443579509582,-29.837522489691658,226,536,-1.9847624724951407,-2.392024435795096,1,1,1,1,0,0,0,1
3B,487,42,-0.28596477879037735,-68.91751168848094,241,683,-4.439367182919171,-2.6959647787903775,1,1,1,1,1,0,0,1
3B,487,43,-0.11861083706694696,-30.601595963272317,258,546,-1.9051721478092827,-2.698610837066947,1,1,1,1,0,0,0,0
3B,487,44,-0.11273401114579924,-21.983132173430853,195,489,-1.5742447927368641,-2.0627340111457992,1,1,1,1,0,0,0,1
3B,487,45,-0.1900260857435688,-25.843547661125356,136,391,-2.216065929472996,-1.5500260857435688,1,1,1,1,0,0,0,1
3B,487,46,-0.19417657790357043,-27.76725064021057,143,427,-2.3220141487740364,-1.6241765779035704,1,1,1,1,1,0,0,1
3B,487,47,-0.1555767515409543,-31.426503811272767,202,525,-2.211161092106868,-2.1755767515409543,1,1,1,1,1,0,0,1
3B,488,0,-0.12379549911158312,-20.797643850745963,168,547,-1.6045730587443015,-1.803795499111583,1,1,1,2,0,0,0,0
3B,488,1,-0.08736987979298022,-22.628798866381878,259,846,-1.4060851456491927,-2.67736987979298,1,1,1,2,0,0,2,0
3B,488,2,-0.16693876933189458,-29.88203971040913,179,557,-2.233488512256668,-1.9569387693318947,1,1,1,2,0,0,1,0
3B,488,3,-0.16532564858513324,-29.923942393909115,181,550,-2.224229121403006,-1.9753256485851334,1,1,1,2,0,0,0,0
3B,488,4,-0.15843289612484618,-31.2112805365947,197,637,-2.223711664577434,-2.128432896124846,1,1,1,2,0,0,2,0
3B,488,5,-0.18632906202337451,-35.402521784441156,190,621,-2.568368874861437,-2.0863290620233745,1,1,1,2,0,0,0,0
3B,488,6,-0.15192838045484153,-36.91859645052649,243,757,-2.368329066534959,-2.581928380454842,1,1,1,2,0,0,1,0
3B,488,7,-0.1755139718216981,-41.070269406277355,234,800,-2.684847501681038,-2.515513971821698,1,1,1,2,1,0,1,0
3B,488,8,-0.15959839330623493,-43.25116458598966,271,912,-2.627321140733937,-2.869598393306235,1,1,1,2,0,2,1,0
3B,488,9,-0.23879665405487815,-44.41617765420734,186,582,-3.256752156632703,-2.0987966540548784,1,1,1,2,0,0,0,0
3B,488,10,-0.19654461682437002,-46.974163421024436,239,820,-3.0385060391960037,-2.58654461682437,1,1,1,5,0,3,1,0
3B,488,11,-0.2036774382340267,-49.28994005263446,242,802,-3.1684773504996584,-2.6236774382340267,1,1,1,2,0,4,1,0
3B,488,12,-0.2548359672115648,-52.75104521279391,207,713,-3.666451094481327,-2.324835967211565,1,1,1,2,0,0,1,0
3B,488,13,-0.2790550609676012,-57.764397620293444,207,714,-4.014903174385124,-2.349055060967601,1,1,1,2,0,0,1,0
3B,488,14,-0.2090292243022788,-59.57332892614946,285,919,-3.5288194533777903,-3.0590292243022787,1,1,1,2,0,0,1,0
3B,488,15,-0.24274455848699225,-60.20065050477408,248,793,-3.8227451298001953,-2.7227445584869923,1,1,1,2,1,0,0,0
3B,488,16,-0.2103151258500867,-50.265315078170715,239,750,-3.2513929425032178,-2.600315125850087,1,1,1,2,1,0,2,0
3B,488,17,-0.20127846611378578,-47.09916107062587,234,689,-3.078968479140653,-2.5412784661137855,1,1,1,2,0,0,2,0
3B,488,18,-0.17581170053566786,-50.80958145480801,289,924,-2.988798909106354,-3.0658117005356678,1,1,1,2,0,7,1,0
3B,488,19,-0.14947252583607398,-26.157692021312947,175,567,-1.9773356559946431,-1.899472525836074,1,1,1,2,0,0,0,0
3B,488,20,-0.1696359662979528,-44.78389510265954,264,919,-2.7562582100242,-2.809635966297953,1,1,1,2,0,0,1,0
3B,488,21,-0.2676644021747453,-84.58195108721952,316,1221,-4.758106490247372,-3.4276644021747456,1,1,1,2,0,0,0,0
3B,488,22,-0.15794284068241093,-45.01370959448712,285,912,-2.666382036206813,-3.007942840682411,1,1,1,2,0,0,2,0
3B,488,23,-0.1719471797921716,-37.65643237448558,219,712,-2.5445858892612416,-2.3619471797921716,1,1,1,2,0,0,1,0
3B,488,24,-0.13819701421654046,-35.65482966786744,258,885,-2.219772736677925,-2.7181970142165404,1,1,1,2,0,0,2,0
3B,488,25,-0.12803312114313212,-33.80074398178688,264,834,-2.0802919864644274,-2.7680331211431324,1,1,1,5,0,0,0,0
3B,488,26,-0.151791821155386,-34.45674340227262,227,732,-2.286974383790687,-2.421791821155386,1,1,1,2,0,0,1,0
3B,488,27,-0.25471241065750616,-59.34799168319894,233,751,-3.8880162074391142,-2.5847124106575063,1,1,1,2,0,0,1,0
3B,488,28,-0.15552913996780904,-46.65874199034271,300,923,-2.693843724817366,-3.155529139967809,1,1,1,2,1,0,2,0
3B,488,29,-0.18308389535809994,-33.13818505981609,181,621,-2.4631418972216603,-1.9930838953581,1,1,1,2,0,0,1,0
3B,488,30,-0.13508515930781845,-33.501119508338974,248,793,-2.1273232161038047,-2.6150851593078186,1,1,1,2,0,0,1,0
3B,488,31,-0.21732875673016622,-40.85780626527125,188,719,-2.979861781753207,-2.097328756730166,1,1,1,2,0,0,0,0
3B,488,32,-0.23991327161155004,-52.54100648292946,219,692,-3.550392197924515,-2.42991327161155,1,1,1,2,0,0,1,0
3B,488,33,-0.17442817448568876,-44.65361266833632,256,814,-2.79085079177102,-2.734428174485689,1,1,1,2,0,0,0,0
3B,488,34,-0.1882943083004605,-54.04046648223217,287,901,-3.1899078758650896,-3.058294308300461,1,1,1,2,0,0,2,0
3B,488,35,-0.10289924004807843,-21.60884041009647,210,695,-1.4911516544332888,-2.2028992400480787,1,1,1,2,0,0,1,0
3B,488,36,-0.10560587365860169,-22.599656962940763,214,693,-1.5448807455451248,-2.2456058736586018,1,1,1,2,0,0,2,0
3B,488,37,-0.13589404782101405,-30.983842903191203,228,782,-2.0519551235748437,-2.4158940478210145,1,1,1,2,0,0,2,0
3B,488,38,-0.19058698010727768,-40.9762007230647,215,791,-2.794553694613605,-2.3405869801072776,1,1,1,2,0,0,1,0
3B,488,39,-0.17355067838035676,-38.35469992205884,221,764,-2.5800163159461467,-2.383550678380357,1,1,1,2,0,0,1,0
3B,488,40,-0.2071534920952876,-52.61698699220305,254,817,-3.3014833937136783,-2.7471534920952876,1,1,1,2,0,0,0,0
3B,488,41,-0.1978114487573554,-45.29882176543439,229,749,-2.993430400129891,-2.4878114487573555,1,1,1,2,0,0,1,0
3B,488,42,-0.2060747499360919,-46.77896823549286,227,774,-3.104829171049122,-2.476074749936092,1,1,1,2,0,0,2,0
3B,488,43,-0.17241818669806025,-54.82898336998316,318,1048,-3.0746567111062335,-3.3524181866980602,1,1,1,2,1,0,2,0
3B,488,44,-0.14500938535919333,-29.43690522791625,203,626,-2.0660657138573693,-2.1750093853591936,1,1,1,2,0,0,0,0
3B,488,45,-0.07899911618726338,-16.747812631699837,212,630,-1.1502444939986336,-2.1989991161872635,1,1,1,2,0,0,2,0
3B,488,46,-0.1137797186748754,-20.935468236177073,184,576,-1.5433831948803307,-1.9537797186748755,1,1,1,2,0,0,0,0
3B,488,47,-0.1613561878079808,-34.530224190907894,214,656,-2.360437531391123,-2.301356187807981,1,1,1,2,0,0,2,0
3B,489,0,-0.1557192218700364,-77.3924532694081,497,1414,-3.4715259759542896,-5.125719221870036,1,1,1,2,1,0,0,1
3B,489,1,-0.169443600314382,-109.46056580309076,646,1705,-4.306668359895503,-6.6294436003143815,1,1,1,1,0,0,1,0
3B,489,2,-0.2406494442154185,-115.27108377918546,479,1312,-5.266870251446291,-5.030649444215419,1,1,1,1,1,0,0,0
3B,489,3,-0.1709327897425888,-115.55056586599002,676,1817,-4.444252533307308,-6.930932789742589,1,1,1,2,1,0,0,1
3B,489,4,-0.1977358900842916,-136.04229237799262,688,1958,-5.1865637731035195,-7.077735890084291,1,1,1,2,0,0,0,0
3B,489,5,-0.30224070427206573,-136.31055762670164,451,1329,-6.418613474638607,-4.812240704272066,1,1,1,4,1,0,0,0
3B,489,6,-0.20607747345931454,-137.4536747973628,667,1834,-5.322227543044246,-6.876077473459315,1,1,1,1,1,0,0,0
3B,489,7,-0.24498268601838194,-148.45950772713945,606,1920,-6.030755256844814,-6.304982686018382,1,1,1,4,0,0,0,0
3B,489,8,-0.2526257471445201,-153.09120276957916,606,1663,-6.21890500658421,-6.31262574714452,1,1,1,1,0,0,0,0
3B,489,9,-0.28889934253482247,-161.78363181950058,560,1451,-6.836606238884137,-5.888899342534823,1,1,1,4,0,0,0,0
3B,489,10,-0.2298465049687215,-179.7399668855402,782,2513,-6.427488093480622,-8.049846504968722,1,1,1,2,0,0,0,1
3B,489,11,-0.29765357726045727,-200.02320391902728,672,2199,-7.716062608714135,-7.017653577260457,1,1,1,2,0,0,0,1
3B,489,12,-0.3602129230243864,-254.3103236552168,706,2016,-9.571095289418206,-7.420212923024387,1,1,1,3,0,0,0,0
3B,489,13,-0.2743084081221896,-264.4333054297908,964,2879,-8.516823296683727,-9.91430840812219,1,1,1,2,1,0,0,0
3B,489,14,-0.28841500360177463,-309.7577138683059,1074,3285,-9.451918967120111,-11.028415003601776,1,1,1,2,1,0,1,0
3B,489,15,-0.23401670029725866,-365.0660524637235,1560,4248,-9.2429190728961,-15.834016700297258,1,1,1,2,1,0,0,1
3B,489,16,-0.3044917179472752,-259.1224519731312,851,2391,-8.8826032535518,-8.814491717947275,1,1,1,3,0,0,0,0
3B,489,17,-0.3390768873126112,-694.4294652162278,2048,6914,-15.344868247191949,-20.81907688731261,0,0,0,0,1,0,0,0
3B,489,18,-0.21290575473798823,-436.0309857033999,2048,5320,-9.635014587447769,-20.69290575473799,0,0,0,0,1,0,0,0
3B,489,19,-0.24727141174658313,-442.3685556146372,1789,4889,-10.45873306185449,-18.137271411746585,1,1,1,1,1,0,4,0
3B,489,20,-0.1935818055123899,-396.4555376893745,2048,5457,-8.760512473097362,-20.67358180551239,0,0,0,0,1,0,0,0
3B,489,21,-0.22558186415226114,-157.9073049065828,700,2012,-5.968335128332392,-7.225581864152261,1,1,1,1,0,0,12,0
3B,489,22,-0.23299437002007448,-230.43143194985365,989,2571,-7.327293246484667,-10.122994370020075,1,1,1,4,0,0,1,0
3B,489,23,-0.2293086265850876,-192.3899377048885,839,2339,-6.64203827028259,-8.619308626585088,1,1,1,2,0,0,1,0
3B,489,24,-0.18668752684240586,-224.02503221088702,1200,3367,-6.467045632608509,-12.186687526842405,1,1,1,2,1,0,0,1
3B,489,25,-0.19958765734800968,-135.71960699664658,680,2177,-5.204609343327626,-6.99958765734801,1,1,1,5,1,0,0,0
3B,489,26,-0.3233877477409976,-494.45986629598536,1529,4502,-12.64524663696891,-15.613387747741,1,1,1,1,0,0,6,0
3B,489,27,-0.21786507595070223,-417.21162044559475,1915,5485,-9.533931055755282,-19.367865075950704,1,1,1,2,1,0,0,0
3B,489,28,-0.2848341860175586,-261.19294857810127,917,2675,-8.625351059624734,-9.454834186017559,1,1,1,2,0,0,0,1
3B,489,29,-0.34384210981802443,-316.3347410325825,920,2878,-10.429247564679896,-9.543842109818026,1,1,1,1,1,0,0,0
3B,489,30,-0.23294385749907956,-277.6690781389028,1192,3840,-8.04246891009778,-12.15294385749908,1,1,1,1,1,0,0,0
3B,489,31,-0.07121751006976493,-145.85346062287857,2048,4971,-3.2229365958113285,-20.551217510069765,0,0,0,0,0,0,20,0
3B,489,32,-0.1844571518984569,-185.37943765794918,1005,2804,-5.847611742491361,-10.234457151898457,1,1,1,2,1,0,0,1
3B,489,33,-0.25763552860585703,-308.3897277412109,1197,3508,-8.913593580774435,-12.227635528605857,1,1,1,2,0,0,1,0
3B,489,34,-0.25757824252692846,-230.79010530412788,896,2296,-7.710156270585053,-9.21757824252693,1,1,1,1,1,4,0,0
3B,489,35,-0.2213101748330231,-261.3673164778003,1181,3479,-7.605474771856131,-12.031310174833024,1,1,1,2,1,0,1,1
3B,489,36,-0.26934424435495247,-449.8048880727706,1670,4301,-11.00692317067419,-16.96934424435495,1,1,1,3,0,0,0,0
3B,489,37,-0.3101976686658012,-477.394212076668,1539,4170,-12.169082612125264,-15.700197668665801,1,1,1,1,0,0,0,0
3B,489,38,-0.34787564165850454,-471.3714944472736,1355,4017,-12.80541530331498,-13.897875641658505,1,1,1,2,1,0,0,1
3B,489,39,-0.24721124128790484,-306.0475167144262,1238,3737,-8.698182942434247,-12.627211241287906,1,1,1,3,0,0,0,0
3B,489,40,-0.4103129192194449,-295.8356147572198,721,2162,-11.017494029955902,-7.620312919219445,1,1,1,5,1,0,0,0
3B,489,41,-0.23149487183755466,-173.38965900632843,749,2252,-6.335520254061801,-7.721494871837555,1,1,1,3,1,0,0,0
3B,489,42,-0.22633299889189776,-350.81614828244153,1550,4269,-8.910739077117547,-15.726332998891898,1,1,1,2,1,0,0,1
3B,489,43,-0.23418824357431836,-306.78659908235704,1310,3809,-8.47619105443216,-13.334188243574317,1,1,1,6,1,0,17,0
3B,489,44,-0.3786461934029036,-469.14263362619755,1239,3867,-13.32813086616322,-12.768646193402905,1,1,1,1,0,0,0,0
3B,489,45,-0.2508459961938166,-273.6729818474539,1091,3249,-8.285515781341369,-11.160845996193817,1,1,1,3,0,0,0,0
3B,489,46,-0.1538396776347718,-170.91588185223148,1111,2612,-5.127732848619362,-11.26383967763477,1,1,1,3,1,0,0,0
3B,489,47,-0.44351727473012886,-453.2746547741917,1022,3377,-14.178686102375265,-10.663517274730129,1,1,1,2,1,0,0,0
3B,490,0,-0.16375816769231352,-80.89653484000289,494,1504,-3.6397071747678105,-5.103758167692314,1,1,1,2,1,0,3,1
3B,490,1,-0.16978515306672792,-103.90851367683749,612,2001,-4.200252718534689,-6.289785153066728,1,1,1,2,1,0,7,0
3B,490,2,-0.39266365297436406,-143.71489698861726,366,1028,-7.512098005110482,-4.052663652974364,1,1,1,2,0,0,5,0
3B,490,3,-0.2739868636129625,-144.6650639876442,528,1946,-6.295738809412535,-5.553986863612963,1,1,1,2,0,0,0,0
3B,490,4,-0.38263421390853164,-174.86383575619897,457,1647,-8.179785225518076,-4.9526342139085315,1,1,1,2,0,0,0,0
3B,490,5,-0.2596340713496134,-182.52275215877825,703,1974,-6.883975977363666,-7.289634071349614,1,1,1,2,1,0,0,0
3B,490,6,-0.159606026781011,-188.973535708717,1184,3324,-5.491931827802292,-11.999606026781011,1,1,1,3,0,0,16,0
3B,490,7,-0.32672437699801843,-198.6484212147952,608,1843,-8.0562572987116,-6.406724376998018,1,1,1,2,1,0,0,0
3B,490,8,-0.21987250887481252,-211.29748102869485,961,2721,-6.816047775119189,-9.829872508874812,1,1,1,2,0,0,4,0
3B,490,9,-0.21020376668041393,-215.4588608474243,1025,2808,-6.72980416615519,-10.460203766680413,1,1,1,12,0,0,31,0
3B,490,10,-0.19895590446137915,-237.3543940224253,1193,3376,-6.871903531090508,-12.128955904461378,1,1,1,1,0,4,0,0
3B,490,11,-0.24612662594410278,-251.29528508892895,1021,2774,-7.864506382132288,-10.456126625944103,1,1,1,2,1,0,0,0
3B,490,12,-0.3025098134187356,-268.6287143158372,888,2557,-9.01458941087162,-9.182509813418736,1,1,1,3,1,0,2,0
3B,490,13,-0.33898120069832594,-279.32050937542056,824,2607,-9.73059102253034,-8.578981200698326,1,1,1,2,0,0,6,0
3B,490,14,-0.518115690817399,-301.02521636490883,581,1851,-12.488630346453599,-6.328115690817399,1,1,1,2,0,3,0,0
3B,490,15,-0.39669293485392565,-315.7675761437248,796,2501,-11.192084993966255,-8.356692934853925,1,1,1,1,0,0,0,0
3B,490,16,-0.3634451180254691,-302.3863381971903,832,2911,-10.483360070863123,-8.68344511802547,1,1,1,2,1,0,0,0
3B,490,17,-0.20056147074250194,-195.7479954446819,976,2673,-6.265740647463951,-9.960561470742501,1,1,1,1,0,0,0,0
3B,490,18,-0.2976396276257079,-256.2677193857345,861,2526,-8.733580512622495,-8.907639627625707,1,1,1,2,0,0,0,0
3B,490,19,-0.1913074456083631,-150.17634480256504,785,2123,-5.360023592763328,-8.041307445608364,1,1,1,1,0,0,0,0
3B,490,20,-0.317503528388208,-293.6907637590924,925,2798,-9.656492828586345,-9.567503528388208,1,1,1,2,1,0,0,0
3B,490,21,-0.21170063375034712,-185.02635389780338,874,2570,-6.258609780189286,-8.951700633750347,1,1,1,2,0,0,3,0
3B,490,22,-0.2914225064737809,-229.64093510133932,788,2177,-8.180619591217718,-8.17142250647378,1,1,1,1,1,0,0,0
3B,490,23,-0.1644547539125763,-162.64575161953798,989,2801,-5.171834012951027,-10.054454753912577,1,1,1,1,1,0,0,0
3B,490,24,-0.35438323939608896,-341.62544277782973,964,3225,-11.003014635622844,-9.99438323939609,1,1,1,2,1,0,7,0
3B,490,25,-0.25263659451917136,-260.97360213830405,1033,3014,-8.119820324589842,-10.58263659451917,1,1,1,2,0,0,0,0
3B,490,26,-0.1377242198274008,-151.08346915065866,1097,3074,-4.561562552195424,-11.107724219827402,1,1,1,1,1,0,19,0
3B,490,27,-0.32943847801696513,-254.98538198513103,774,2571,-9.165260288598247,-8.069438478016965,1,1,1,2,0,0,0,0
3B,490,28,-0.23063031007976365,-174.35651442030132,756,2315,-6.341285120949923,-7.790630310079764,1,1,1,1,0,0,0,0
3B,490,29,-0.25355062963971037,-125.25401104201691,494,1503,-5.635444380401835,-5.193550629639711,1,1,1,2,1,0,4,0
3B,490,30,-0.21164277370395765,-433.44440054570526,2048,6267,-9.577858590412696,-20.691642773703958,0,0,0,0,1,0,13,0
3B,490,31,-0.2562266917430432,-184.73944474673414,721,2418,-6.8800564504880635,-7.466226691743043,1,1,1,2,0,0,2,0
3B,490,32,-0.2860269726339627,-300.90037521092876,1052,3189,-9.277155996640642,-10.806026972633962,1,1,1,2,1,0,1,0
3B,490,33,-0.3261314898846718,-223.40007057100019,685,2088,-8.535677937672034,-7.176131489884672,1,1,1,2,0,0,1,0
3B,490,34,-0.47938297113972056,-457.3313544672934,954,3216,-14.806649300226024,-10.019382971139722,1,1,1,2,0,0,1,0
3B,490,35,-0.2924880455760482,-301.26268694332964,1030,3536,-9.386998162833704,-10.592488045576049,1,1,1,1,0,0,4,0
3B,490,36,-0.164733623834993,-337.37446161406564,2048,5857,-7.454992800202074,-20.644733623834995,0,0,0,0,0,0,0,0
3B,490,37,-0.37022195710392797,-333.5699833506391,901,2736,-11.112827366030587,-9.380221957103927,1,1,1,3,0,0,14,0
3B,490,38,-0.41250458076977836,-360.5290035927863,874,2570,-12.195075460299057,-9.15250458076978,1,1,1,2,0,0,0,0
3B,490,39,-0.2778458525120853,-206.99516012150355,745,2093,-7.583715891951303,-7.727845852512085,1,1,1,2,1,0,1,0
3B,490,40,-0.21025963360506233,-206.4749602001712,982,3208,-6.58888074564321,-10.030259633605063,1,1,1,2,1,0,9,0
3B,490,41,-0.15314050824255512,-313.6317608807529,2048,5750,-6.930348278570566,-20.633140508242555,0,0,0,0,0,0,19,0
3B,490,42,-0.30458682050857655,-315.85653286739387,1037,3277,-9.808452328626684,-10.674586820508578,1,1,1,2,1,0,9,0
3B,490,43,-0.19956584656880771,-206.35108535214718,1034,2605,-6.417213494866253,-10.539565846568808,1,1,1,2,0,0,1,0
3B,490,44,-0.13944766699403538,-149.3484513506119,1071,3116,-4.563583362886562,-10.849447666994037,1,1,1,2,1,0,8,0
3B,490,45,-0.4266927742777056,-272.22998998917615,638,2091,-10.777688512388618,-6.806692774277705,1,1,1,1,0,0,4,0
3B,490,46,-0.22658615037308022,-143.42903318615978,633,1819,-5.7007922678681,-6.5565861503730805,1,1,1,2,0,0,4,0
3B,490,47,-0.16056959801939835,-248.88287693006745,1550,4332,-6.32163139565827,-15.660569598019398,1,1,1,1,1,0,5,0
3B,491,0,-0.18269010535989297,-50.239778973970566,275,992,-3.0295726619463044,-2.932690105359893,1,1,1,2,0,0,0,1
3B,491,1,-0.19045536448401376,-51.04203768171569,268,951,-3.1178886911943997,-2.870455364484014,1,1,1,2,1,0,0,0
3B,491,2,-0.19734666830691144,-55.059720457628295,279,1075,-3.296339240767375,-2.9873466683069116,0,0,0,0,1,0,0,0
3B,491,3,-0.22590723980806257,-62.57630542683333,277,967,-3.759845799545801,-2.9959072398080626,0,0,0,0,0,0,0,0
3B,491,4,-0.20354199685438637,-63.098019024859774,310,1009,-3.583726662271555,-3.3035419968543867,0,0,0,0,0,0,0,0
3B,491,5,-0.2546204810287032,-69.25677083980727,272,1009,-4.199308550907684,-2.9746204810287034,0,0,0,0,0,0,0,0
3B,491,6,-0.2372343732369889,-72.35648383728162,305,1056,-4.143120212203579,-3.287234373236989,0,0,0,0,0,0,0,0
3B,491,7,-0.3253241269128852,-73.84857680922494,227,873,-4.9015021956763665,-2.5953241269128853,1,1,1,2,0,0,0,0
3B,491,8,-0.24479041992594727,-74.41628765748797,304,1081,-4.268066811216357,-3.2847904199259474,1,1,1,2,0,0,0,0
3B,491,9,-0.2774501451274678,-77.40859049056351,279,977,-4.634331091508198,-3.067450145127468,1,1,1,2,1,0,0,0
3B,491,10,-0.39564539443450497,-79.5247242813355,201,704,-5.60924156242038,-2.4056453944345053,1,1,1,2,1,0,0,0
3B,491,11,-0.29035349212861755,-95.52629891031518,329,1203,-5.266535339170542,-3.5803534921286175,0,0,0,0,1,0,0,0
3B,491,12,-0.3496579682667471,-110.84157594055884,317,1196,-6.225483133288545,-3.5196579682667473,1,1,1,3,1,0,0,0
3B,491,13,-0.3945515063171169,-126.25648202147741,320,1139,-7.057951910000089,-3.594551506317117,0,0,0,0,0,0,0,0
3B,491,14,-0.3284446141441401,-127.10806567378222,387,1478,-6.461266097664871,-4.19844461414414,1,1,1,2,1,0,0,1
3B,491,15,-0.10611912775356261,-217.33197363929622,2048,6309,-4.802403510281323,-20.586119127753562,0,0,0,0,0,0,0,0
3B,491,16,-0.31585877694041353,-138.66200307684153,439,1678,-6.617976329661433,-4.705858776940413,0,0,0,0,1,0,0,0
3B,491,17,-0.1803461465850417,-53.2021132425873,295,1063,-3.097546789554863,-3.1303461465850417,0,0,0,0,0,0,0,0
3B,491,18,-0.27031297016013617,-96.77204331732875,358,1089,-5.114561413999493,-3.8503129701601364,0,0,0,0,0,0,0,0
3B,491,19,-0.2428738026655755,-79.17685966897761,326,1322,-4.38520067852353,-3.502873802665576,1,1,1,2,1,0,0,1
3B,491,20,-0.399367972560134,-139.7787903960469,350,1222,-7.47149062285279,-3.899367972560134,1,1,1,4,1,0,0,0
3B,491,21,-0.3735966477576733,-111.33180103178665,298,1019,-6.4492780723349,-3.3535966477576733,0,1,0,66,0,0,0,0
3B,491,22,-0.23525236924146226,-123.27224148252623,524,1821,-5.385172872849112,-5.4752523692414625,1,1,1,3,0,0,0,0
3B,491,23,-0.20296112895402368,-107.56939834563255,530,1876,-4.672516081206641,-5.5029611289540235,0,0,0,0,1,0,0,0
3B,491,24,-0.2390831541355537,-119.7806602219124,501,1827,-5.351405240709571,-5.249083154135554,1,1,1,4,1,0,0,0
3B,491,25,-0.21992413415698064,-154.38674217820042,702,2184,-5.8269520848259715,-7.239924134156981,1,1,1,6,0,0,0,0
3B,491,26,-0.30362726866558126,-118.71826204824228,391,1135,-6.003840574701542,-4.213627268665581,1,1,1,2,1,0,0,0
3B,491,27,-0.34303013244813785,-116.28721489991872,339,979,-6.315854552564063,-3.733030132448138,1,1,1,2,0,0,0,0
3B,491,28,-0.3420857804920968,-102.96781992812114,301,1046,-5.93496647384642,-3.352085780492097,1,1,1,2,1,0,0,1
3B,491,29,-0.1927494502054768,-67.65505702212235,351,1164,-3.611159792176783,-3.702749450205477,1,1,1,2,0,0,0,0
3B,491,30,-0.2284684089798238,-224.35597761818696,982,3470,-7.159486940524449,-10.048468408979824,1,1,1,2,1,0,0,0
3B,491,31,-0.365488686374887,-108.55013985334145,297,1053,-6.298717966444285,-3.3354886863748874,1,1,1,2,0,0,0,0
3B,491,32,-0.23280878585733192,-65.18646004005294,280,973,-3.8956360990552246,-3.0328087858573323,1,1,1,2,1,0,0,0
3B,491,33,-0.2269731670364549,-125.97010770523246,555,1933,-5.34713327847548,-5.776973167036455,1,1,1,3,0,0,0,0
3B,491,34,-0.26806511002950817,-64.60369151711147,241,840,-4.16148959807025,-2.6780651100295083,0,0,0,0,0,0,0,1
3B,491,35,-0.3482865286031288,-83.24048033614778,239,831,-5.3843790668501335,-2.738286528603129,1,1,1,2,0,0,0,0
3B,491,36,-0.23280049544305798,-48.888104043042176,210,694,-3.373599686164911,-2.332800495443058,0,0,0,0,0,0,0,0
3B,491,37,-0.29511823371639473,-75.55026783139705,256,931,-4.721891739462316,-2.8551182337163947,1,1,1,2,1,0,0,1
3B,491,38,-0.35644487934521496,-113.70591651112358,319,1295,-6.366309110594972,-3.546444879345215,1,1,1,2,0,0,0,0
3B,491,39,-0.33118494040279883,-66.23698808055977,200,720,-4.6836623437136335,-2.3311849404027987,0,0,0,0,0,0,0,0
3B,491,40,-0.26947616749609093,-86.23237359874909,320,935,-4.8205362306990285,-3.469476167496091,1,1,1,2,0,0,0,1
